Estacao;Data;Hora;Precipitacao;
83766;28/04/2017;1200;0;
83766;29/04/2017;1200;0;
83766;30/04/2017;1200;0;
83766;01/05/2017;1200;0;
83766;02/05/2017;1200;11.4;
83766;03/05/2017;1200;0;
83766;04/05/2017;1200;1.8;
83766;05/05/2017;1200;31.6;
83766;06/05/2017;1200;0.3;
83766;07/05/2017;1200;0;
83766;08/05/2017;1200;0;
83766;09/05/2017;1200;0;
83766;10/05/2017;1200;0;
83766;11/05/2017;1200;0;
83766;12/05/2017;1200;0;
83766;13/05/2017;1200;0;
83766;14/05/2017;1200;6.8;
83766;15/05/2017;1200;0;
83766;16/05/2017;1200;0.3;
83766;17/05/2017;1200;0;
83766;18/05/2017;1200;46.6;
83766;19/05/2017;1200;49.6;
83766;20/05/2017;1200;53.7;
83766;21/05/2017;1200;17.4;
83766;22/05/2017;1200;34.5;
83766;23/05/2017;1200;0;
83766;24/05/2017;1200;0;
83766;25/05/2017;1200;0;
83766;26/05/2017;1200;0;
83766;27/05/2017;1200;0;
83766;28/05/2017;1200;0;
83766;29/05/2017;1200;0;
83766;30/05/2017;1200;0;
83766;31/05/2017;1200;0;
83766;01/06/2017;1200;6.9;
83766;02/06/2017;1200;0;
83766;03/06/2017;1200;0;
83766;04/06/2017;1200;0;
83766;05/06/2017;1200;0.7;
83766;06/06/2017;1200;14.1;
83766;07/06/2017;1200;17.4;
83766;08/06/2017;1200;0;
83766;09/06/2017;1200;16.3;
83766;10/06/2017;1200;0;
83766;11/06/2017;1200;0;
83766;12/06/2017;1200;0;
83766;13/06/2017;1200;14.8;
83766;14/06/2017;1200;17.3;
83766;15/06/2017;1200;0;
83766;16/06/2017;1200;0;
83766;17/06/2017;1200;0;
83766;18/06/2017;1200;0;
83766;19/06/2017;1200;0;
83766;20/06/2017;1200;10;
83766;21/06/2017;1200;0;
83766;22/06/2017;1200;0;
